Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
1,1765668836813,13/12/2025 23:33:56,1765668836745,-7,13/12/2025 16:33:56,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,
2,1765668840159,13/12/2025 23:34:00,1765668840073,-7,13/12/2025 16:34:00,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,1,Screen 1,advancementZone,continue_button,3260.89999999851,,,0,,,,,,,,microphoneCheck,,,
3,1765668850775,13/12/2025 23:34:10,1765668850737,-7,13/12/2025 16:34:10,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,2,Screen 2,Zone3,continue_button,10641.39999999851,,,0,,,,,,,,microphoneCheck,,,
4,1765668854879,13/12/2025 23:34:14,1765668854693,-7,13/12/2025 16:34:14,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,3945.10000000149,,STARTED RECORDING,0,,,,,,,,microphoneCheck,,,
5,1765668859797,13/12/2025 23:34:19,1765668859707,-7,13/12/2025 16:34:19,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8958.89999999851,,STOPPED RECORDING,0,,,,,,,,microphoneCheck,,,
6,1765668860289,13/12/2025 23:34:20,1765668859709,-7,13/12/2025 16:34:19,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8960.79999999702,,TRANSCODING START,0,,,,,,,,microphoneCheck,,,
7,1765668861090,13/12/2025 23:34:21,1765668861054,-7,13/12/2025 16:34:21,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10306.29999999702,,TRANSCODING FINISH,0,,,,,,,,microphoneCheck,,,
8,1765668861325,13/12/2025 23:34:21,1765668861058,-7,13/12/2025 16:34:21,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10310.29999999702,,250842-10-14743096-task-vo82-51388901-test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
9,1765668861325,13/12/2025 23:34:21,1765668861059,-7,13/12/2025 16:34:21,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10310.70000000298,,https://app.gorilla.sc/uploads/schedule/51388901?filename=test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
10,1765668861325,13/12/2025 23:34:21,1765668861061,-7,13/12/2025 16:34:21,250842,10,task-vo82,,51388901,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10313,,,0,,,,,,,,microphoneCheck,,,
